ImageUniqueID,xmin,ymin,xmax,ymax
2238171282-306298,0.437500,0.250000,0.727679,0.866071
2238221319-85404,0.236607,0.049107,0.866071,0.647321
2383042435-191600,0.044643,0.053571,0.575893,0.977679
2238564653-34517,0.142857,0.281250,0.723214,0.928571
2238555262-330309,0.151786,0.116071,0.803571,0.642857
2238420825-163976,0.004464,0.294643,0.750000,0.709821
2238365543-13465,0.116071,0.129464,0.758929,0.910714
2986454331-296725,0.276786,0.120536,0.941964,0.852679
2238486435-168943,0.214286,0.049107,0.946429,0.718750
2238557331-255311,0.111607,0.227679,0.991071,0.785714
2237965239-79322,0.245536,0.267857,0.754464,0.709821
2821598343-60370,0.250000,0.209821,0.785714,0.709821
2238503481-245555,0.285714,0.191964,0.678571,0.808036
2238194432-307355,0.357143,0.062500,0.776786,0.776786
2238558018-33120,0.357143,0.089286,0.839286,0.736607
2238423331-238180,0.218750,0.375000,0.678571,0.758929
2446760434-123984,0.290179,0.196429,0.763393,0.861607
2238580467-335516,0.071429,0.107143,0.888393,0.687500
2237963620-153106,0.138393,0.142857,0.861607,0.995536
2238166256-230891,0.205357,0.049107,0.861607,0.767857
2238577588-37036,0.433036,0.321429,0.741071,0.705357
2868479433-65213,0.156250,0.276786,0.991071,0.959821
2446758350-197415,0.250000,0.053571,0.812500,0.602679
2238509874-98555,0.160714,0.058036,0.723214,0.616071
2421822346-267482,0.223214,0.241071,0.723214,0.674107
2238583069-112746,0.089286,0.187500,0.897321,0.973214
2238566592-332646,0.129464,0.308036,0.540179,0.946429
2238411140-163696,0.482143,0.133929,0.995536,0.638393
2620427301-280538,0.325893,0.049107,0.727679,0.955357
2237949212-301615,0.218750,0.361607,0.888393,0.754464
2238194933-9765,0.312500,0.196429,0.741071,0.700893
2238525270-175152,0.258929,0.330357,0.852679,0.718750
2446760178-49353,0.040179,0.098214,0.821429,0.678571
2986399313-73158,0.205357,0.058036,0.736607,0.888393
2238436095-164683,0.183036,0.111607,0.750000,0.709821
2238527377-324852,0.303571,0.044643,0.683036,0.526786
2521519097-350231,0.272321,0.357143,0.812500,0.991071
2238187685-157622,0.214286,0.156250,0.964286,0.718750
2238531358-28236,0.357143,0.325893,0.714286,0.772321
2383042506-265761,0.151786,0.120536,0.714286,0.732143
2238512544-98921,0.294643,0.299107,0.714286,0.821429
2238502960-171512,0.133929,0.165179,0.575893,0.674107
2864907311-287046,0.142857,0.424107,0.933036,0.852679
2964225413-71443,0.178571,0.272321,0.910714,0.843750
2868484474-139436,0.071429,0.049107,0.718750,0.995536
2238583005-186685,0.129464,0.035714,0.946429,0.995536
2413149458-43879,0.178571,0.316964,0.616071,0.647321
2874314498-66715,0.196429,0.227679,0.754464,0.732143
2862698315-211680,0.053571,0.133929,0.910714,0.839286
2449443180-198716,0.075893,0.196429,0.812500,0.928571
2816367346-282514,0.160714,0.196429,0.741071,0.892857
2821586323-60106,0.258929,0.299107,0.678571,0.625000
2984626335-220857,0.267857,0.379464,0.678571,0.790179
2862691402-360995,0.250000,0.142857,0.620536,0.870536
2269197257-338210,0.102679,0.267857,0.955357,0.906250
2868483336-288381,0.169643,0.111607,0.866071,0.901786
2237883075-150893,0.196429,0.147321,0.758929,0.678571
2238402679-89233,0.044643,0.035714,0.660714,0.531250
2417208074-118919,0.245536,0.156250,0.700893,0.785714
2238512052-322358,0.138393,0.401786,0.821429,0.790179
2274829602-338813,0.151786,0.107143,0.665179,0.866071
2862693407-361092,0.200893,0.200893,0.776786,0.933036
2238393850-163033,0.468750,0.455357,0.852679,0.879464
2237941372-301339,0.267857,0.482143,0.794643,0.906250
2237919267-300729,0.151786,0.294643,0.857143,0.852679
2238428753-16012,0.111607,0.294643,0.959821,0.718750
2238495031-244145,0.245536,0.397321,0.674107,0.691964
2237964104-79262,0.205357,0.071429,0.982143,0.781250
2238572264-110208,0.330357,0.084821,0.767857,0.825893
2816360328-59498,0.236607,0.223214,0.888393,0.870536
2332527775-190248,0.133929,0.165179,0.906250,0.647321
2542590335-201811,0.330357,0.290179,0.888393,0.772321
2864910308-64177,0.196429,0.200893,0.758929,0.705357
2238150387-305421,0.330357,0.160714,0.794643,0.754464
2901938543-69626,0.174107,0.312500,0.821429,0.767857
2427874554-121863,0.102679,0.379464,0.678571,0.870536
2862684468-62652,0.236607,0.183036,0.642857,0.584821
2238584091-261092,0.089286,0.022321,0.910714,0.866071
2901936495-217610,0.151786,0.437500,0.897321,0.781250
2238505312-321182,0.392857,0.174107,0.875000,0.566964
2446758679-123482,0.102679,0.339286,0.937500,0.549107
2238520998-26254,0.125000,0.142857,0.732143,0.964286
2804918330-207612,0.285714,0.165179,0.799107,0.665179
2446759260-197705,0.258929,0.455357,0.928571,0.852679
2238181229-83292,0.098214,0.044643,0.977679,0.861607
2812991349-133368,0.107143,0.035714,0.500000,0.593750
2868477379-138970,0.446429,0.058036,0.696429,0.669643
2238154801-230412,0.232143,0.330357,0.736607,0.933036
2383042705-191666,0.236607,0.209821,0.727679,0.821429
2238557331-255315,0.151786,0.062500,0.562500,0.937500
2864911437-362254,0.174107,0.294643,0.593750,0.723214
2575122827-354018,0.392857,0.348214,0.924107,0.750000
2238513531-247239,0.303571,0.191964,0.678571,0.848214
2238378576-236417,0.232143,0.102679,0.754464,0.834821
2818079337-358030,0.093750,0.138393,0.843750,0.790179
2430665794-122634,0.214286,0.107143,0.892857,0.723214
2238560510-182169,0.098214,0.330357,0.678571,0.857143
2238578665-185728,0.343750,0.129464,0.834821,0.575893
2864906316-287008,0.169643,0.303571,0.790179,0.816964
2862699434-137458,0.151786,0.241071,0.531250,0.763393
2898630439-142699,0.160714,0.200893,0.906250,0.852679
2238527269-101267,0.196429,0.107143,0.763393,0.973214
2238049703-5474,0.178571,0.241071,0.830357,0.848214
2427875113-47567,0.160714,0.089286,0.959821,0.718750
2989720314-147478,0.214286,0.236607,0.794643,0.580357
2238524878-26848,0.098214,0.156250,0.767857,0.973214
2901936469-143273,0.008929,0.366071,0.535714,0.995536
2237962223-4744,0.491071,0.392857,0.995536,0.946429
2238498457-320177,0.209821,0.183036,0.785714,0.714286
2883261382-365398,0.392857,0.401786,0.852679,0.816964
2821598358-60374,0.312500,0.017857,0.723214,0.955357
2382324680-191315,0.089286,0.084821,0.794643,0.754464
2238505764-97782,0.008929,0.357143,0.642857,0.843750
2238352114-87068,0.562500,0.388393,0.901786,0.875000
2964212423-70952,0.169643,0.316964,0.651786,0.772321
2984620340-220671,0.410714,0.169643,0.790179,0.727679
2238572700-184306,0.116071,0.263393,0.834821,0.995536
2238466445-166348,0.245536,0.196429,0.785714,0.727679
2238554647-330188,0.267857,0.183036,0.714286,0.691964
2424122260-193954,0.049107,0.125000,0.709821,0.964286
2856934318-61920,0.174107,0.258929,0.723214,0.839286
2964224424-145188,0.098214,0.089286,0.758929,0.772321
2238147690-155834,0.321429,0.294643,0.625000,0.995536
2238507649-98103,0.160714,0.227679,0.839286,0.611607
2382320284-117070,0.031250,0.089286,0.794643,0.933036
2238568420-183557,0.209821,0.214286,0.781250,0.647321
2238551743-31967,0.133929,0.196429,0.790179,0.718750
2238529207-325254,0.183036,0.258929,0.732143,0.638393
2449442993-50043,0.053571,0.066964,0.535714,0.763393
2868480485-213528,0.321429,0.151786,0.714286,0.589286
2883268413-67873,0.169643,0.285714,0.584821,0.821429
2382324700-191319,0.357143,0.254464,0.602679,0.660714
2238403970-163396,0.017857,0.218750,0.785714,0.843750
2238420651-238086,0.227679,0.058036,0.785714,0.772321
2238503361-245541,0.267857,0.330357,0.660714,0.825893
2812987323-59122,0.196429,0.392857,0.611607,0.821429
2238554789-106759,0.089286,0.245536,0.892857,0.799107
2238558556-255605,0.142857,0.214286,0.665179,0.767857
2860294415-210441,0.316964,0.232143,0.750000,0.857143
2989734362-372316,0.062500,0.187500,0.678571,0.892857
2238524191-248812,0.383929,0.254464,0.928571,0.785714
2331571108-41714,0.093750,0.031250,0.995536,0.879464
2248039338-39988,0.290179,0.214286,0.754464,0.633929
2237975569-79714,0.080357,0.160714,0.758929,0.848214
2251781171-262806,0.366071,0.156250,0.669643,0.732143
2981228406-294572,0.464286,0.165179,0.754464,0.718750
2238215373-10621,0.200893,0.169643,0.714286,0.816964
2238584398-38601,0.348214,0.125000,0.808036,0.607143
2237913326-225286,0.080357,0.174107,0.772321,0.620536
2238506024-97831,0.187500,0.178571,0.785714,0.754464
2238180869-83273,0.093750,0.156250,0.857143,0.892857
2351007301-264966,0.232143,0.191964,0.785714,0.995536
2804914309-133177,0.321429,0.214286,0.723214,0.687500
2860313389-136712,0.178571,0.316964,0.870536,0.861607
2421822575-193435,0.232143,0.209821,0.812500,0.785714
2238350651-235232,0.214286,0.142857,0.857143,0.651786
2238543895-178501,0.022321,0.227679,0.919643,0.674107
2238069740-154000,0.325893,0.254464,0.575893,0.897321
2237965020-153188,0.044643,0.053571,0.535714,0.995536
2237970083-5151,0.125000,0.406250,0.473214,0.883929
2864906340-212357,0.133929,0.089286,0.866071,0.933036
2238513056-247167,0.160714,0.294643,0.875000,0.647321
2238150708-7866,0.227679,0.165179,0.915179,0.611607
2417207825-192952,0.040179,0.191964,0.718750,0.776786
2273187911-263338,0.151786,0.214286,0.816964,0.531250
2238501185-171237,0.129464,0.267857,0.754464,0.669643
2862692372-361040,0.236607,0.084821,0.946429,0.866071
2856923322-359748,0.281250,0.433036,0.727679,0.941964
2901941499-143666,0.303571,0.151786,0.825893,0.906250
2818082346-283086,0.334821,0.205357,0.825893,0.906250
2238146819-81884,0.107143,0.133929,0.598214,0.950893
2331570854-116037,0.151786,0.276786,0.785714,0.642857
2238566954-109281,0.125000,0.160714,0.933036,0.691964
2851421330-209749,0.107143,0.196429,0.892857,0.665179
2382322511-265337,0.107143,0.120536,0.616071,0.535714
2238564424-108840,0.160714,0.272321,0.678571,0.937500
2237853738-429,0.214286,0.245536,0.683036,0.741071
2238220185-159367,0.178571,0.053571,0.892857,0.848214
2238555598-32629,0.098214,0.267857,0.950893,0.736607
2862689437-360919,0.066964,0.093750,0.428571,0.995536
2238148139-81969,0.133929,0.089286,0.803571,0.598214
2238493030-169940,0.209821,0.334821,0.660714,0.839286
2238551125-180190,0.200893,0.035714,0.687500,0.875000
2424122168-45436,0.111607,0.102679,0.910714,0.808036
2237916178-2970,0.165179,0.089286,0.607143,0.861607
2427872633-47033,0.156250,0.250000,0.968750,0.745536
2238456484-91575,0.325893,0.151786,0.705357,0.843750
2812983350-207633,0.312500,0.169643,0.754464,0.549107
2238181254-83293,0.160714,0.120536,0.928571,0.870536
2237914125-151144,0.080357,0.245536,0.892857,0.584821
2898634348-69041,0.000000,0.375000,0.714286,0.995536
2238496026-244322,0.241071,0.294643,0.839286,0.727679
2421821546-267273,0.263393,0.044643,0.991071,0.919643
2898620447-366446,0.174107,0.397321,0.745536,0.816964
2238520941-248327,0.267857,0.040179,0.785714,0.843750
2238560515-182170,0.156250,0.138393,0.709821,0.794643
2424122645-194017,0.325893,0.080357,0.758929,0.866071
2898624394-142448,0.075893,0.183036,0.816964,0.919643
2851420334-135411,0.147321,0.156250,0.816964,0.825893
2424122578-45518,0.308036,0.308036,0.906250,0.781250
2868475413-64941,0.205357,0.294643,0.660714,0.924107
2816374328-59727,0.258929,0.035714,0.794643,0.683036
2901951404-144417,0.049107,0.334821,0.986607,0.776786
2430667236-271024,0.285714,0.316964,0.852679,0.669643
2238574148-36201,0.156250,0.209821,0.750000,0.642857
2238189105-157692,0.191964,0.254464,0.821429,0.776786
2238333175-160323,0.227679,0.285714,0.669643,0.995536
2868469423-64548,0.017857,0.017857,0.736607,0.870536
2862689313-62848,0.062500,0.053571,0.620536,0.928571
2351007784-116885,0.196429,0.218750,0.973214,0.852679
2446758071-271339,0.258929,0.160714,0.772321,0.741071
2238572838-35871,0.410714,0.160714,0.919643,0.995536
2238497659-96449,0.299107,0.116071,0.665179,0.839286
2238478415-167723,0.209821,0.178571,0.821429,0.821429
2238560087-331406,0.352679,0.223214,0.812500,0.696429
2874318440-215187,0.178571,0.339286,0.683036,0.982143
2898625373-68618,0.308036,0.160714,0.825893,0.834821
2238526143-27074,0.343750,0.174107,0.861607,0.861607
2238412841-237855,0.281250,0.129464,0.848214,0.879464
2427872852-344859,0.151786,0.044643,0.897321,0.834821
2868478399-139034,0.080357,0.071429,0.866071,0.754464
2874302451-288942,0.017857,0.191964,0.816964,0.870536
2883268489-141807,0.160714,0.120536,0.950893,0.665179
2238497241-244554,0.214286,0.013393,0.928571,0.924107
2238572300-184229,0.401786,0.285714,0.857143,0.946429
2238182766-231468,0.459821,0.308036,0.839286,0.691964
2238474724-93109,0.214286,0.232143,0.803571,0.879464
2964219327-369304,0.303571,0.223214,0.616071,0.584821
2981245320-220305,0.017857,0.107143,0.892857,0.696429
2238181740-157263,0.312500,0.111607,0.808036,0.767857
2237963850-153120,0.334821,0.125000,0.553571,0.709821
2237973328-5258,0.174107,0.366071,0.808036,0.754464
2331570982-339440,0.267857,0.066964,0.705357,0.714286
2238567639-109426,0.160714,0.241071,0.691964,0.959821
2238527887-324932,0.129464,0.290179,0.776786,0.816964
2238398112-312516,0.281250,0.178571,0.803571,0.995536
2427875574-122069,0.187500,0.111607,0.834821,0.848214
2351006239-116571,0.571429,0.254464,0.875000,0.633929
2427874964-121956,0.419643,0.116071,0.763393,0.727679
2864897362-361538,0.245536,0.040179,0.866071,0.821429
2449442852-347882,0.089286,0.321429,0.736607,0.888393
2238191189-83810,0.392857,0.263393,0.906250,0.910714
2421823224-119462,0.125000,0.339286,0.678571,0.933036
2238397883-14825,0.026786,0.263393,0.883929,0.571429
2383041721-265595,0.058036,0.325893,0.611607,0.825893
2238586647-336738,0.089286,0.433036,0.790179,0.718750
2874305508-66175,0.263393,0.241071,0.883929,0.950893
2901951345-218699,0.125000,0.299107,0.678571,0.611607
2238501555-171287,0.236607,0.151786,0.825893,0.758929
2816373339-133852,0.183036,0.160714,0.991071,0.776786
2460547543-51583,0.339286,0.383929,0.616071,0.750000
2883263418-67575,0.053571,0.290179,0.696429,0.870536
2868476305-213247,0.071429,0.406250,0.995536,0.991071
2860295454-136111,0.205357,0.223214,0.839286,0.977679
2238564304-108798,0.276786,0.142857,0.933036,0.839286
2238559964-107919,0.062500,0.013393,0.553571,0.674107
2868471542-362715,0.147321,0.169643,0.674107,0.705357
2238560885-182236,0.160714,0.250000,0.691964,0.821429
2981234435-219874,0.053571,0.040179,0.571429,0.995536
2860311311-285576,0.071429,0.071429,0.959821,0.450893
2860301359-136295,0.312500,0.433036,0.750000,0.982143
2238551113-31825,0.120536,0.035714,0.915179,0.495536
2898618444-142235,0.089286,0.147321,0.933036,0.995536
2417207211-266911,0.196429,0.035714,0.732143,0.683036
2237971784-79578,0.343750,0.049107,0.571429,0.870536
2238172913-8719,0.156250,0.303571,0.839286,0.781250
2898623325-216737,0.053571,0.098214,0.901786,0.535714
2883269378-67928,0.258929,0.151786,0.781250,0.785714
2238566337-332598,0.250000,0.120536,0.714286,0.995536
2238564480-182876,0.191964,0.156250,0.790179,0.816964
2351008025-190912,0.165179,0.205357,0.861607,0.758929
2238556504-107072,0.125000,0.303571,0.964286,0.647321
2238496116-244336,0.178571,0.232143,0.857143,0.915179
2898632404-142785,0.075893,0.080357,0.727679,0.790179
2351007105-190732,0.290179,0.183036,0.611607,0.843750
2332527837-339657,0.044643,0.294643,0.915179,0.799107
2238317435-159958,0.093750,0.303571,0.843750,0.772321
2238357227-310780,0.187500,0.183036,0.830357,0.812500
2237859273-1721,0.312500,0.241071,0.754464,0.616071
2382324509-117292,0.205357,0.160714,0.785714,0.660714
2237915051-225385,0.200893,0.089286,0.785714,0.995536
2821601342-358412,0.049107,0.352679,0.991071,0.919643
2986397354-146822,0.196429,0.071429,0.651786,0.781250
2984629364-146640,0.294643,0.294643,0.839286,0.714286
2994387304-148021,0.441964,0.236607,0.915179,0.656250
2383042548-43238,0.089286,0.093750,0.598214,0.879464
2382324676-265467,0.107143,0.120536,0.785714,0.674107
2862695335-211550,0.250000,0.267857,0.750000,0.665179
2238492617-319281,0.022321,0.120536,0.995536,0.986607
2238218462-308558,0.174107,0.044643,0.879464,0.937500
2868488311-288671,0.142857,0.191964,0.857143,0.803571
2238558069-107415,0.156250,0.303571,0.839286,0.794643
2238507909-98163,0.339286,0.125000,0.790179,0.825893
2238506756-246074,0.272321,0.191964,0.781250,0.776786
2417206714-118640,0.080357,0.138393,0.959821,0.714286
2238491366-243714,0.258929,0.200893,0.888393,0.821429
2238128211-228895,0.196429,0.312500,0.607143,0.825893
2238504314-97545,0.062500,0.111607,0.888393,0.959821
2238576202-334520,0.125000,0.232143,0.696429,0.651786
2864915323-64413,0.151786,0.075893,0.732143,0.549107
2964207451-293859,0.250000,0.410714,0.763393,0.950893
2237930236-225890,0.196429,0.111607,0.906250,0.995536
2237939132-301286,0.089286,0.169643,0.906250,0.696429
2825707302-358745,0.218750,0.142857,0.602679,0.687500
2238555614-106863,0.312500,0.035714,0.924107,0.950893
2237949961-226412,0.227679,0.178571,0.683036,0.821429
2238558922-331170,0.236607,0.218750,0.821429,0.915179
2238575632-334399,0.151786,0.089286,0.830357,0.799107
2238575141-258920,0.241071,0.424107,0.785714,0.745536
2238512195-173074,0.196429,0.031250,0.955357,0.821429
2825694303-60541,0.276786,0.120536,0.866071,0.825893
2238215376-233017,0.218750,0.276786,0.915179,0.933036
2238213692-308205,0.209821,0.116071,0.933036,0.727679
2238526215-175295,0.116071,0.089286,0.857143,0.607143
2238508906-246491,0.196429,0.281250,0.843750,0.857143
2244194131-262382,0.165179,0.107143,0.950893,0.593750
2238352401-235314,0.290179,0.303571,0.683036,0.750000
2273187620-189119,0.263393,0.236607,0.691964,0.785714
2331571278-41771,0.196429,0.169643,0.790179,0.758929
2874313325-214854,0.125000,0.263393,0.928571,0.790179
2238579882-335363,0.004464,0.053571,0.647321,0.830357
2986400356-296298,0.227679,0.165179,0.745536,0.794643
2238150013-7825,0.107143,0.375000,0.852679,0.937500
2238556587-330594,0.080357,0.111607,0.941964,0.857143
2427873713-47279,0.294643,0.125000,0.718750,0.745536
2238512320-173100,0.290179,0.241071,0.946429,0.745536
2238146044-81830,0.142857,0.334821,0.834821,0.727679
2898629411-291797,0.044643,0.035714,0.883929,0.959821
2238331860-160260,0.169643,0.321429,0.763393,0.790179
2238185825-157527,0.241071,0.241071,0.642857,0.941964
2238215837-308350,0.441964,0.383929,0.767857,0.656250
2351007156-264935,0.348214,0.316964,0.656250,0.616071
2427873630-195727,0.245536,0.178571,0.709821,0.741071
2238210799-84616,0.312500,0.151786,0.714286,0.767857
2446759118-49077,0.133929,0.200893,0.816964,0.616071
2427874446-269926,0.093750,0.285714,0.687500,0.736607
2238554639-106736,0.107143,0.196429,0.910714,0.933036
2238419535-163936,0.227679,0.187500,0.763393,0.812500
2984617347-370554,0.165179,0.080357,0.883929,0.901786
2238474851-241389,0.191964,0.165179,0.861607,0.665179
2981231428-71649,0.017857,0.263393,0.995536,0.669643
2446759384-123669,0.383929,0.160714,0.821429,0.946429
2238526736-249271,0.200893,0.178571,0.812500,0.834821
2864907358-64060,0.241071,0.200893,0.803571,0.875000
2238567134-109317,0.227679,0.294643,0.700893,0.910714
2238522579-100422,0.348214,0.174107,0.678571,0.843750
2964209467-368921,0.040179,0.241071,0.656250,0.995536
2238435495-164639,0.093750,0.133929,0.745536,0.589286
2382324961-265530,0.178571,0.183036,0.647321,0.928571
2237855463-827,0.044643,0.178571,0.642857,0.812500
2238568775-183609,0.214286,0.133929,0.723214,0.758929
2901945483-70170,0.049107,0.062500,0.892857,0.995536
2421821233-44658,0.258929,0.147321,0.816964,0.924107
2238412531-237833,0.093750,0.276786,0.857143,0.933036
2238576642-334629,0.187500,0.258929,0.758929,0.696429
2413149241-266338,0.375000,0.187500,0.794643,0.544643
2430665752-346000,0.450893,0.415179,0.821429,0.941964
2868472539-138725,0.303571,0.276786,0.875000,0.723214
2238495683-22133,0.209821,0.205357,0.924107,0.892857
2430666797-346271,0.142857,0.017857,0.937500,0.977679
2898628435-216993,0.348214,0.236607,0.745536,0.633929
2238495760-170296,0.232143,0.107143,0.660714,0.723214
2238472302-316390,0.464286,0.160714,0.799107,0.616071
2825710320-209256,0.348214,0.214286,0.656250,0.718750
2425495632-344407,0.142857,0.200893,0.785714,0.656250
2238394626-237120,0.165179,0.272321,0.937500,0.709821
2238590886-261880,0.151786,0.187500,0.861607,0.660714
2521519859-126977,0.236607,0.178571,0.959821,0.718750
2238219911-233413,0.040179,0.008929,0.995536,0.995536
2238218404-85181,0.361607,0.035714,0.723214,0.674107
2332527613-41885,0.214286,0.196429,0.611607,0.799107
2332528077-339714,0.473214,0.125000,0.888393,0.906250
2238381121-236512,0.258929,0.250000,0.866071,0.785714
2238330682-309485,0.089286,0.075893,0.857143,0.821429
2238548914-105343,0.071429,0.267857,0.794643,0.535714
2382324912-340695,0.116071,0.160714,0.816964,0.915179
2351006367-339951,0.031250,0.160714,0.901786,0.741071
2238559269-107730,0.352679,0.272321,0.678571,0.794643
2901950376-293564,0.142857,0.107143,0.620536,0.633929
2238359917-310914,0.232143,0.169643,0.696429,0.843750
2238214123-10541,0.325893,0.151786,0.584821,0.745536
2862692354-137131,0.196429,0.111607,0.955357,0.991071
2864911337-362225,0.116071,0.049107,0.687500,0.750000
2238209572-307950,0.125000,0.183036,0.901786,0.758929
2237931169-77912,0.285714,0.084821,0.915179,0.825893
2901937506-292495,0.370536,0.321429,0.714286,0.741071
2901941475-217956,0.200893,0.316964,0.691964,0.995536
2238589972-337002,0.263393,0.169643,0.750000,0.785714
2868474475-213175,0.375000,0.200893,0.656250,0.629464
2821599345-208866,0.357143,0.116071,0.718750,0.651786
2238302786-233957,0.107143,0.044643,0.736607,0.906250
2238591576-261930,0.477679,0.080357,0.910714,0.781250
2238091808-6032,0.107143,0.200893,0.691964,0.995536
2351007852-340230,0.267857,0.330357,0.709821,0.745536
2265771711-262873,0.017857,0.223214,0.964286,0.825893
2238535142-326610,0.303571,0.196429,0.553571,0.995536
2864911376-287250,0.232143,0.272321,0.848214,0.812500
2238189795-157740,0.223214,0.263393,0.625000,0.892857
2862685466-285775,0.196429,0.075893,0.825893,0.678571
2265771731-262880,0.303571,0.089286,0.825893,0.602679
2864916397-362530,0.187500,0.084821,0.919643,0.964286
2651214317-356698,0.031250,0.285714,0.674107,0.812500
2238469868-18266,0.308036,0.258929,0.772321,0.924107
2831344306-283896,0.267857,0.191964,0.696429,0.861607
2238570654-109930,0.160714,0.169643,0.928571,0.875000
2238397884-89037,0.089286,0.156250,0.977679,0.522321
2238591966-261962,0.276786,0.366071,0.602679,0.750000
2238470958-18387,0.361607,0.258929,0.607143,0.633929
2238122698-6333,0.169643,0.102679,0.754464,0.821429
2238535157-326613,0.133929,0.196429,0.732143,0.714286
2238484567-317983,0.267857,0.205357,0.843750,0.776786
2446758937-346922,0.343750,0.388393,0.928571,0.995536
2238328403-11673,0.232143,0.321429,0.959821,0.857143
2821598349-134534,0.196429,0.236607,0.750000,0.848214
2238185090-157476,0.232143,0.156250,0.879464,0.656250
2238500745-171148,0.138393,0.196429,0.593750,0.691964
2238183856-231527,0.325893,0.116071,0.705357,0.879464
2238567928-35047,0.464286,0.209821,0.799107,0.799107
2237901049-77104,0.084821,0.205357,0.580357,0.691964
2238568979-109663,0.053571,0.066964,0.633929,0.674107
2238121997-303853,0.102679,0.196429,0.897321,0.906250
2238523224-100533,0.142857,0.120536,0.781250,0.799107
2816355323-59421,0.357143,0.232143,0.660714,0.741071
2238481037-317440,0.178571,0.178571,0.785714,0.879464
2446760393-49404,0.187500,0.361607,0.642857,0.638393
2460547095-200067,0.125000,0.272321,0.750000,0.995536
2238136071-229258,0.062500,0.049107,0.888393,0.892857
2238497948-22530,0.053571,0.156250,0.785714,0.977679
2868487365-213911,0.013393,0.129464,0.857143,0.656250
2901943464-143807,0.214286,0.089286,0.875000,0.937500
2238482811-242410,0.125000,0.357143,0.821429,0.848214
2382319217-340318,0.218750,0.116071,0.785714,0.825893
2864911376-287256,0.165179,0.388393,0.647321,0.995536
2868474500-213184,0.214286,0.245536,0.875000,0.812500
2898630345-217048,0.357143,0.066964,0.772321,0.995536
2238562057-331783,0.303571,0.267857,0.821429,0.888393
2901945356-293107,0.160714,0.098214,0.602679,0.857143
2238204395-158356,0.147321,0.375000,0.834821,0.647321
2425492468-46116,0.267857,0.258929,0.700893,0.678571
2460547793-51642,0.316964,0.388393,0.687500,0.714286
2901937533-69560,0.227679,0.267857,0.598214,0.986607
2238438746-238948,0.428571,0.294643,0.799107,0.741071
2238217629-85079,0.075893,0.250000,0.848214,0.830357
2238487493-20872,0.169643,0.129464,0.602679,0.602679
2238532739-102485,0.366071,0.026786,0.656250,0.464286
2425492722-343882,0.156250,0.227679,0.727679,0.589286
2383043358-43409,0.107143,0.160714,0.982143,0.866071
2237938655-151856,0.058036,0.071429,0.955357,0.611607
2883259432-365274,0.205357,0.232143,0.821429,0.754464
2868471377-362675,0.169643,0.294643,0.754464,0.647321
2238505248-23741,0.272321,0.116071,0.933036,0.901786
2238533396-250785,0.053571,0.392857,0.741071,0.883929
2238468837-315979,0.370536,0.388393,0.982143,0.946429
2413149034-118176,0.375000,0.165179,0.875000,0.861607
2237896941-225155,0.071429,0.352679,0.803571,0.790179
2238562792-331938,0.142857,0.218750,0.776786,0.875000
2862700360-211778,0.276786,0.267857,0.825893,0.758929
2238401335-163253,0.169643,0.214286,0.611607,0.642857
2238499893-22878,0.111607,0.098214,0.562500,0.857143
2238556074-106972,0.147321,0.227679,0.745536,0.727679
2427874086-269856,0.169643,0.049107,0.776786,0.933036
2446758230-197385,0.160714,0.138393,0.910714,0.593750
2864899344-137756,0.214286,0.254464,0.642857,0.763393
2238437695-164810,0.125000,0.089286,0.995536,0.785714
2425493855-194818,0.089286,0.129464,0.790179,0.897321
2238127521-228854,0.205357,0.183036,0.919643,0.732143
2238562883-34099,0.285714,0.267857,0.625000,0.691964
2383042970-191736,0.236607,0.263393,0.714286,0.790179
2424121882-343105,0.223214,0.236607,0.968750,0.486607
2238592432-337188,0.133929,0.290179,0.714286,0.928571
2238533283-28629,0.263393,0.102679,0.785714,0.647321
2449443095-198695,0.473214,0.308036,0.955357,0.995536
2273838115-189266,0.232143,0.196429,0.723214,0.825893
2868475364-138842,0.196429,0.129464,0.683036,0.727679
2430666760-196928,0.044643,0.017857,0.991071,0.995536
2238567343-34958,0.084821,0.080357,0.790179,0.892857
2238500352-320474,0.209821,0.227679,0.857143,0.830357
2238128227-304100,0.071429,0.138393,0.794643,0.745536
2874307420-214517,0.147321,0.272321,0.821429,0.964286
2238565111-256928,0.160714,0.348214,0.924107,0.812500
2981237422-369957,0.352679,0.281250,0.767857,0.665179
2238533477-326225,0.232143,0.303571,0.665179,0.919643
2238504827-321112,0.245536,0.111607,0.790179,0.750000
2575121827-353784,0.415179,0.165179,0.941964,0.790179
2238558346-255555,0.232143,0.250000,0.580357,0.808036
2901937500-217688,0.343750,0.116071,0.723214,0.959821
2417206389-118566,0.272321,0.334821,0.816964,0.857143
2898632375-217129,0.339286,0.116071,0.946429,0.750000
2238439852-314314,0.125000,0.133929,0.888393,0.897321
2238577028-36917,0.075893,0.040179,0.839286,0.941964
2981231372-369704,0.334821,0.165179,0.642857,0.924107
2413150461-266557,0.258929,0.120536,0.781250,0.669643
2237906882-300395,0.379464,0.339286,0.593750,0.857143
2238223901-233527,0.102679,0.263393,0.937500,0.718750
2452380306-273150,0.049107,0.133929,0.870536,0.808036
2238150618-7861,0.258929,0.111607,0.647321,0.785714
2238537714-103608,0.205357,0.370536,0.714286,0.647321
2238569039-109675,0.325893,0.383929,0.767857,0.830357
2383041842-340781,0.558036,0.232143,0.919643,0.901786
