species,genus,family,mivs
Blythia hmuifang,Blythia,Colubridae,0
Blythia reticulata,Blythia,Colubridae,0
Boa constrictor,Boa,Boidae,0
Boa imperator,Boa,Boidae,0
Boa nebulosa,Boa,Boidae,0
Boa orophias,Boa,Boidae,0
Boaedon angolensis,Boaedon,Lamprophiidae,0
Boaedon bocagei,Boaedon,Lamprophiidae,0
Boaedon branchi,Boaedon,Lamprophiidae,0
Boaedon capensis,Boaedon,Lamprophiidae,0
Boaedon fradei,Boaedon,Lamprophiidae,0
Boaedon fuliginosus,Boaedon,Lamprophiidae,0
Boaedon lineatus,Boaedon,Lamprophiidae,0
Boaedon littoralis,Boaedon,Lamprophiidae,0
Boaedon longilineatus,Boaedon,Lamprophiidae,0
Boaedon maculatus,Boaedon,Lamprophiidae,0
Boaedon olivaceus,Boaedon,Lamprophiidae,0
Boaedon paralineatus,Boaedon,Lamprophiidae,0
Boaedon perisilvestris,Boaedon,Lamprophiidae,0
Boaedon radfordi,Boaedon,Lamprophiidae,0
Boaedon subflavus,Boaedon,Lamprophiidae,0
Boaedon upembae,Boaedon,Lamprophiidae,0
Boaedon variegatus,Boaedon,Lamprophiidae,0
Boaedon virgatus,Boaedon,Lamprophiidae,0
Bogertophis rosaliae,Bogertophis,Colubridae,0
Bogertophis subocularis,Bogertophis,Colubridae,0
Boiga andamanensis,Boiga,Colubridae,0
Boiga angulata,Boiga,Colubridae,0
Boiga barnesii,Boiga,Colubridae,0
Boiga beddomei,Boiga,Colubridae,0
Boiga bengkuluensis,Boiga,Colubridae,0
Boiga bourreti,Boiga,Colubridae,0
Boiga ceylonensis,Boiga,Colubridae,0
Boiga cyanea,Boiga,Colubridae,0
Boiga cynodon,Boiga,Colubridae,0
Boiga dendrophila,Boiga,Colubridae,0
Boiga dightoni,Boiga,Colubridae,0
Boiga drapiezii,Boiga,Colubridae,0
Boiga flaviviridis,Boiga,Colubridae,0
Boiga forsteni,Boiga,Colubridae,0
Boiga gocool,Boiga,Colubridae,0
Boiga guangxiensis,Boiga,Colubridae,0
Boiga hoeseli,Boiga,Colubridae,0
Boiga irregularis,Boiga,Colubridae,0
Boiga jaspidea,Boiga,Colubridae,0
Boiga kraepelini,Boiga,Colubridae,0
Boiga multifasciata,Boiga,Colubridae,0
Boiga multomaculata,Boiga,Colubridae,0
Boiga nigriceps,Boiga,Colubridae,0
Boiga nuchalis,Boiga,Colubridae,0
Boiga ochracea,Boiga,Colubridae,0
Boiga philippina,Boiga,Colubridae,0
Boiga quincunciata,Boiga,Colubridae,0
Boiga saengsomi,Boiga,Colubridae,0
Boiga schultzei,Boiga,Colubridae,0
Boiga siamensis,Boiga,Colubridae,0
Boiga tanahjampeana,Boiga,Colubridae,0
Boiga thackerayi,Boiga,Colubridae,0
Boiga trigonata,Boiga,Colubridae,0
Boiga wallachi,Boiga,Colubridae,0
Boiga westermanni,Boiga,Colubridae,0
Boiruna maculata,Boiruna,Colubridae,0
Boiruna sertaneja,Boiruna,Colubridae,0
Bolyeria multocarinata,Bolyeria,Bolyeriidae,0
Borikenophis portoricensis,Borikenophis,Colubridae,0
Borikenophis prymnus,Borikenophis,Colubridae,0
Borikenophis sanctaecrucis,Borikenophis,Colubridae,0
Borikenophis variegatus,Borikenophis,Colubridae,0
Bothriechis aurifer,Bothriechis,Viperidae,1
Bothriechis bicolor,Bothriechis,Viperidae,1
Bothriechis guifarroi,Bothriechis,Viperidae,1
Bothriechis lateralis,Bothriechis,Viperidae,1
Bothriechis marchi,Bothriechis,Viperidae,1
Bothriechis nigroviridis,Bothriechis,Viperidae,1
Bothriechis nubestris,Bothriechis,Viperidae,1
Bothriechis rowleyi,Bothriechis,Viperidae,1
Bothriechis schlegelii,Bothriechis,Viperidae,1
Bothriechis supraciliaris,Bothriechis,Viperidae,1
Bothriechis thalassinus,Bothriechis,Viperidae,1
Bothrochilus boa,Bothrochilus,Pythonidae,0
Bothrocophias andianus,Bothrocophias,Viperidae,1
Bothrocophias campbelli,Bothrocophias,Viperidae,1
Bothrocophias colombianus,Bothrocophias,Viperidae,1
Bothrocophias hyoprora,Bothrocophias,Viperidae,1
Bothrocophias lojanus,Bothrocophias,Viperidae,1
Bothrocophias microphthalmus,Bothrocophias,Viperidae,1
Bothrocophias myersi,Bothrocophias,Viperidae,1
Bothrolycus ater,Bothrolycus,Lamprophiidae,0
Bothrophthalmus brunneus,Bothrophthalmus,Lamprophiidae,0
Bothrophthalmus lineatus,Bothrophthalmus,Lamprophiidae,0
Bothrops alcatraz,Bothrops,Viperidae,1
Bothrops alternatus,Bothrops,Viperidae,1
Bothrops ammodytoides,Bothrops,Viperidae,1
Bothrops asper,Bothrops,Viperidae,1
Bothrops atrox,Bothrops,Viperidae,1
Bothrops ayerbei,Bothrops,Viperidae,1
Bothrops barnetti,Bothrops,Viperidae,1
Bothrops bilineatus,Bothrops,Viperidae,1
Bothrops brazili,Bothrops,Viperidae,1
Bothrops caribbaeus,Bothrops,Viperidae,1
Bothrops chloromelas,Bothrops,Viperidae,1
Bothrops cotiara,Bothrops,Viperidae,1
Bothrops diporus,Bothrops,Viperidae,1
Bothrops erythromelas,Bothrops,Viperidae,1
Bothrops fonsecai,Bothrops,Viperidae,1
Bothrops insularis,Bothrops,Viperidae,1
Bothrops itapetiningae,Bothrops,Viperidae,1
Bothrops jararaca,Bothrops,Viperidae,1
Bothrops jararacussu,Bothrops,Viperidae,1
Bothrops jonathani,Bothrops,Viperidae,1
Bothrops lanceolatus,Bothrops,Viperidae,1
Bothrops leucurus,Bothrops,Viperidae,1
Bothrops lutzi,Bothrops,Viperidae,1
Bothrops marajoensis,Bothrops,Viperidae,1
Bothrops marmoratus,Bothrops,Viperidae,1
Bothrops mattogrossensis,Bothrops,Viperidae,1
Bothrops medusa,Bothrops,Viperidae,1
Bothrops monsignifer,Bothrops,Viperidae,1
Bothrops moojeni,Bothrops,Viperidae,1
Bothrops muriciensis,Bothrops,Viperidae,1
Bothrops neuwiedi,Bothrops,Viperidae,1
Bothrops oligolepis,Bothrops,Viperidae,1
Bothrops osbornei,Bothrops,Viperidae,1
Bothrops otavioi,Bothrops,Viperidae,1
Bothrops pauloensis,Bothrops,Viperidae,1
Bothrops pictus,Bothrops,Viperidae,1
Bothrops pirajai,Bothrops,Viperidae,1
Bothrops pubescens,Bothrops,Viperidae,1
Bothrops pulcher,Bothrops,Viperidae,1
Bothrops punctatus,Bothrops,Viperidae,1
Bothrops sanctaecrucis,Bothrops,Viperidae,1
Bothrops sazimai,Bothrops,Viperidae,1
Bothrops sonene,Bothrops,Viperidae,1
Bothrops taeniatus,Bothrops,Viperidae,1
Bothrops venezuelensis,Bothrops,Viperidae,1
Brachyophis revoili,Brachyophis,Lamprophiidae,0
Brachyorrhos albus,Brachyorrhos,Homalopsidae,0
Brachyorrhos gastrotaenius,Brachyorrhos,Homalopsidae,0
Brachyorrhos raffrayi,Brachyorrhos,Homalopsidae,0
Brachyorrhos wallacei,Brachyorrhos,Homalopsidae,0
Brachyurophis approximans,Brachyurophis,Elapidae,0
Brachyurophis australis,Brachyurophis,Elapidae,0
Brachyurophis campbelli,Brachyurophis,Elapidae,0
Brachyurophis fasciolatus,Brachyurophis,Elapidae,0
Brachyurophis incinctus,Brachyurophis,Elapidae,0
Brachyurophis morrisi,Brachyurophis,Elapidae,0
Brachyurophis roperi,Brachyurophis,Elapidae,0
Brachyurophis semifasciatus,Brachyurophis,Elapidae,0
Brygophis coulangesi,Brygophis,Lamprophiidae,0
Buhoma depressiceps,Buhoma,Lamprophiidae,0
Buhoma procterae,Buhoma,Lamprophiidae,0
Buhoma vauerocegae,Buhoma,Lamprophiidae,0
Bungarus andamanensis,Bungarus,Elapidae,1
Bungarus bungaroides,Bungarus,Elapidae,1
Bungarus caeruleus,Bungarus,Elapidae,1
Bungarus candidus,Bungarus,Elapidae,1
Bungarus ceylonicus,Bungarus,Elapidae,1
Bungarus fasciatus,Bungarus,Elapidae,1
Bungarus flaviceps,Bungarus,Elapidae,1
Bungarus lividus,Bungarus,Elapidae,1
Bungarus magnimaculatus,Bungarus,Elapidae,1
Bungarus multicinctus,Bungarus,Elapidae,1
Bungarus niger,Bungarus,Elapidae,1
Bungarus persicus,Bungarus,Elapidae,1
Bungarus sindanus,Bungarus,Elapidae,1
Bungarus slowinskii,Bungarus,Elapidae,1
Bungarus walli,Bungarus,Elapidae,1
Caaeteboia amarali,Caaeteboia,Colubridae,0
Caaeteboia gaeli,Caaeteboia,Colubridae,0
Cacophis churchilli,Cacophis,Elapidae,0
Cacophis harriettae,Cacophis,Elapidae,0
Cacophis krefftii,Cacophis,Elapidae,0
Cacophis squamulosus,Cacophis,Elapidae,0
Calabaria reinhardtii,Calabaria,Boidae,0
Calamaria abramovi,Calamaria,Colubridae,0
Calamaria abstrusa,Calamaria,Colubridae,0
Calamaria acutirostris,Calamaria,Colubridae,0
Calamaria albiventer,Calamaria,Colubridae,0
Calamaria alidae,Calamaria,Colubridae,0
Calamaria andersoni,Calamaria,Colubridae,0
Calamaria apraeocularis,Calamaria,Colubridae,0
Calamaria banggaiensis,Calamaria,Colubridae,0
Calamaria battersbyi,Calamaria,Colubridae,0
Calamaria bicolor,Calamaria,Colubridae,0
Calamaria bitorques,Calamaria,Colubridae,0
Calamaria boesemani,Calamaria,Colubridae,0
Calamaria borneensis,Calamaria,Colubridae,0
Calamaria brongersmai,Calamaria,Colubridae,0
Calamaria buchi,Calamaria,Colubridae,0
Calamaria butonensis,Calamaria,Colubridae,0
Calamaria ceramensis,Calamaria,Colubridae,0
Calamaria concolor,Calamaria,Colubridae,0
Calamaria crassa,Calamaria,Colubridae,0
Calamaria curta,Calamaria,Colubridae,0
Calamaria doederleini,Calamaria,Colubridae,0
Calamaria dominici,Calamaria,Colubridae,0
Calamaria eiselti,Calamaria,Colubridae,0
Calamaria everetti,Calamaria,Colubridae,0
Calamaria forcarti,Calamaria,Colubridae,0
Calamaria gervaisii,Calamaria,Colubridae,0
Calamaria gialaiensis,Calamaria,Colubridae,0
Calamaria grabowskyi,Calamaria,Colubridae,0
Calamaria gracillima,Calamaria,Colubridae,0
Calamaria griswoldi,Calamaria,Colubridae,0
Calamaria hilleniusi,Calamaria,Colubridae,0
Calamaria ingeri,Calamaria,Colubridae,0
Calamaria javanica,Calamaria,Colubridae,0
Calamaria joloensis,Calamaria,Colubridae,0
Calamaria lateralis,Calamaria,Colubridae,0
Calamaria lautensis,Calamaria,Colubridae,0
Calamaria leucogaster,Calamaria,Colubridae,0
Calamaria linnaei,Calamaria,Colubridae,0
Calamaria longirostris,Calamaria,Colubridae,0
Calamaria lovii,Calamaria,Colubridae,0
Calamaria lumbricoidea,Calamaria,Colubridae,0
Calamaria lumholtzi,Calamaria,Colubridae,0
Calamaria margaritophora,Calamaria,Colubridae,0
Calamaria mecheli,Calamaria,Colubridae,0
Calamaria melanota,Calamaria,Colubridae,0
Calamaria modesta,Calamaria,Colubridae,0
Calamaria muelleri,Calamaria,Colubridae,0
Calamaria nuchalis,Calamaria,Colubridae,0
Calamaria palavanensis,Calamaria,Colubridae,0
Calamaria pavimentata,Calamaria,Colubridae,0
Calamaria pfefferi,Calamaria,Colubridae,0
Calamaria prakkei,Calamaria,Colubridae,0
Calamaria rebentischi,Calamaria,Colubridae,0
Calamaria sangi,Calamaria,Colubridae,0
Calamaria schlegeli,Calamaria,Colubridae,0
Calamaria schmidti,Calamaria,Colubridae,0
Calamaria septentrionalis,Calamaria,Colubridae,0
Calamaria strigiventris,Calamaria,Colubridae,0
Calamaria suluensis,Calamaria,Colubridae,0
Calamaria sumatrana,Calamaria,Colubridae,0
Calamaria thanhi,Calamaria,Colubridae,0
Calamaria ulmeri,Calamaria,Colubridae,0
Calamaria virgulata,Calamaria,Colubridae,0
Calamaria yunnanensis,Calamaria,Colubridae,0
Calamodontophis paucidens,Calamodontophis,Colubridae,0
Calamodontophis ronaldoi,Calamodontophis,Colubridae,0
Calamophis jobiensis,Calamophis,Homalopsidae,0
Calamophis katesandersae,Calamophis,Homalopsidae,0
Calamophis ruuddelangi,Calamophis,Homalopsidae,0
Calamophis sharonbrooksae,Calamophis,Homalopsidae,0
Calamorhabdium acuticeps,Calamorhabdium,Colubridae,0
Calamorhabdium kuekenthali,Calamorhabdium,Colubridae,0
Calliophis beddomei,Calliophis,Elapidae,1
Calliophis bibroni,Calliophis,Elapidae,1
Calliophis bilineata,Calliophis,Elapidae,1
Calliophis bivirgatus,Calliophis,Elapidae,1
Calliophis castoe,Calliophis,Elapidae,1
Calliophis gracilis,Calliophis,Elapidae,1
Calliophis haematoetron,Calliophis,Elapidae,1
Calliophis intestinalis,Calliophis,Elapidae,1
Calliophis maculiceps,Calliophis,Elapidae,1
Calliophis melanurus,Calliophis,Elapidae,1
Calliophis nigrescens,Calliophis,Elapidae,1
Calliophis nigrotaeniatus,Calliophis,Elapidae,1
Calliophis philippina,Calliophis,Elapidae,1
Calliophis salitan,Calliophis,Elapidae,1
Calliophis suluensis,Calliophis,Elapidae,1
Calloselasma rhodostoma,Calloselasma,Viperidae,1
Candoia aspera,Candoia,Boidae,0
Candoia bibroni,Candoia,Boidae,0
Candoia carinata,Candoia,Boidae,0
Candoia paulsoni,Candoia,Boidae,0
Candoia superciliosa,Candoia,Boidae,0
Cantoria violacea,Cantoria,Homalopsidae,0
Caraiba andreae,Caraiba,Colubridae,0
Carphophis amoenus,Carphophis,Colubridae,0
Carphophis vermis,Carphophis,Colubridae,0
Casarea dussumieri,Casarea,Bolyeriidae,0
Cathetorhinus melanocephalus,Cathetorhinus,Gerrhopilidae,0
Causus bilineatus,Causus,Viperidae,0
Causus defilippii,Causus,Viperidae,0
Causus lichtensteinii,Causus,Viperidae,0
Causus maculatus,Causus,Viperidae,0
Causus rasmusseni,Causus,Viperidae,0
Causus resimus,Causus,Viperidae,0
Causus rhombeatus,Causus,Viperidae,0
Cemophora coccinea,Cemophora,Colubridae,0
Cemophora lineri,Cemophora,Colubridae,0
Cenaspis aenigma,Cenaspis,Colubridae,0
Cerastes boehmei,Cerastes,Viperidae,1
Cerastes cerastes,Cerastes,Viperidae,1
Cerastes gasperettii,Cerastes,Viperidae,1
Cerastes vipera,Cerastes,Viperidae,1
Cerberus australis,Cerberus,Homalopsidae,0
Cerberus dunsoni,Cerberus,Homalopsidae,0
Cerberus microlepis,Cerberus,Homalopsidae,0
Cerberus rynchops,Cerberus,Homalopsidae,0
Cerberus schneiderii,Cerberus,Homalopsidae,0
Cercophis auratus,Cercophis,Colubridae,0
Cerrophidion godmani,Cerrophidion,Viperidae,1
Cerrophidion petlalcalensis,Cerrophidion,Viperidae,1
Cerrophidion sasai,Cerrophidion,Viperidae,1
Cerrophidion tzotzilorum,Cerrophidion,Viperidae,1
Cerrophidion wilsoni,Cerrophidion,Viperidae,1
Chamaelycus christyi,Chamaelycus,Lamprophiidae,0
Chamaelycus fasciatus,Chamaelycus,Lamprophiidae,0
Chamaelycus parkeri,Chamaelycus,Lamprophiidae,0
Chapinophis xanthocheilus,Chapinophis,Colubridae,0
Charina bottae,Charina,Boidae,0
Charina umbratica,Charina,Boidae,0
Chersodromus australis,Chersodromus,Colubridae,0
Chersodromus liebmanni,Chersodromus,Colubridae,0
Chersodromus nigrum,Chersodromus,Colubridae,0
Chersodromus rubriventris,Chersodromus,Colubridae,0
Chilabothrus angulifer,Chilabothrus,Boidae,0
Chilabothrus argentum,Chilabothrus,Boidae,0
Chilabothrus chrysogaster,Chilabothrus,Boidae,0
Chilabothrus exsul,Chilabothrus,Boidae,0
Chilabothrus fordii,Chilabothrus,Boidae,0
Chilabothrus gracilis,Chilabothrus,Boidae,0
Chilabothrus granti,Chilabothrus,Boidae,0
Chilabothrus inornatus,Chilabothrus,Boidae,0
Chilabothrus monensis,Chilabothrus,Boidae,0
Chilabothrus schwartzi,Chilabothrus,Boidae,0
Chilabothrus striatus,Chilabothrus,Boidae,0
Chilabothrus strigilatus,Chilabothrus,Boidae,0
Chilabothrus subflavus,Chilabothrus,Boidae,0
Chilorhinophis butleri,Chilorhinophis,Lamprophiidae,0
Chilorhinophis gerardi,Chilorhinophis,Lamprophiidae,0
Chironius bicarinatus,Chironius,Colubridae,0
Chironius brazili,Chironius,Colubridae,0
Chironius carinatus,Chironius,Colubridae,0
Chironius challenger,Chironius,Colubridae,0
Chironius diamantina,Chironius,Colubridae,0
Chironius exoletus,Chironius,Colubridae,0
Chironius flavolineatus,Chironius,Colubridae,0
Chironius flavopictus,Chironius,Colubridae,0
Chironius foveatus,Chironius,Colubridae,0
Chironius fuscus,Chironius,Colubridae,0
Chironius gouveai,Chironius,Colubridae,0
Chironius grandisquamis,Chironius,Colubridae,0
Chironius laevicollis,Chironius,Colubridae,0
Chironius laurenti,Chironius,Colubridae,0
Chironius leucometapus,Chironius,Colubridae,0
Chironius maculoventris,Chironius,Colubridae,0
Chironius monticola,Chironius,Colubridae,0
Chironius multiventris,Chironius,Colubridae,0
Chironius quadricarinatus,Chironius,Colubridae,0
Chironius scurrulus,Chironius,Colubridae,0
Chironius septentrionalis,Chironius,Colubridae,0
Chironius spixii,Chironius,Colubridae,0
Chironius vincenti,Chironius,Colubridae,0
Chlorosoma dunupyana,Chlorosoma,Colubridae,0
Chlorosoma laticeps,Chlorosoma,Colubridae,0
Chlorosoma viridissima,Chlorosoma,Colubridae,0
Chrysopelea ornata,Chrysopelea,Colubridae,0
Chrysopelea paradisi,Chrysopelea,Colubridae,0
Chrysopelea pelias,Chrysopelea,Colubridae,0
Chrysopelea rhodopleuron,Chrysopelea,Colubridae,0
Chrysopelea taprobanica,Chrysopelea,Colubridae,0
Clelia clelia,Clelia,Colubridae,0
Clelia equatoriana,Clelia,Colubridae,0
Clelia errabunda,Clelia,Colubridae,0
Clelia hussami,Clelia,Colubridae,0
Clelia langeri,Clelia,Colubridae,0
Clelia plumbea,Clelia,Colubridae,0
Clelia scytalina,Clelia,Colubridae,0
Clonophis kirtlandii,Clonophis,Colubridae,0
Coelognathus enganensis,Coelognathus,Colubridae,0
Coelognathus erythrurus,Coelognathus,Colubridae,0
Coelognathus flavolineatus,Coelognathus,Colubridae,0
Coelognathus helena,Coelognathus,Colubridae,0
Coelognathus philippinus,Coelognathus,Colubridae,0
Coelognathus radiatus,Coelognathus,Colubridae,0
Coelognathus subradiatus,Coelognathus,Colubridae,0
Collorhabdium williamsoni,Collorhabdium,Colubridae,0
Coluber constrictor,Coluber,Colubridae,0
Colubroelaps nguyenvansangi,Colubroelaps,Colubridae,0
Compsophis albiventris,Compsophis,Lamprophiidae,0
Compsophis boulengeri,Compsophis,Lamprophiidae,0
Compsophis fatsibe,Compsophis,Lamprophiidae,0
Compsophis infralineatus,Compsophis,Lamprophiidae,0
Compsophis laphystius,Compsophis,Lamprophiidae,0
Compsophis vinckei,Compsophis,Lamprophiidae,0
Compsophis zeny,Compsophis,Lamprophiidae,0
Coniophanes alvarezi,Coniophanes,Colubridae,0
Coniophanes andresensis,Coniophanes,Colubridae,0
Coniophanes bipunctatus,Coniophanes,Colubridae,0
Coniophanes dromiciformis,Coniophanes,Colubridae,0
Coniophanes fissidens,Coniophanes,Colubridae,0
Coniophanes imperialis,Coniophanes,Colubridae,0
Coniophanes joanae,Coniophanes,Colubridae,0
Coniophanes lateritius,Coniophanes,Colubridae,0
Coniophanes longinquus,Coniophanes,Colubridae,0
Coniophanes melanocephalus,Coniophanes,Colubridae,0
Coniophanes meridanus,Coniophanes,Colubridae,0
Coniophanes michoacanensis,Coniophanes,Colubridae,0
Coniophanes piceivittis,Coniophanes,Colubridae,0
Coniophanes quinquevittatus,Coniophanes,Colubridae,0
Coniophanes schmidti,Coniophanes,Colubridae,0
Coniophanes taeniata,Coniophanes,Colubridae,0
Coniophanes taylori,Coniophanes,Colubridae,0
Conophis lineatus,Conophis,Colubridae,0
Conophis morai,Conophis,Colubridae,0
Conophis vittatus,Conophis,Colubridae,0
Conopsis acuta,Conopsis,Colubridae,0
Conopsis amphisticha,Conopsis,Colubridae,0
Conopsis biserialis,Conopsis,Colubridae,0
Conopsis lineata,Conopsis,Colubridae,0
Conopsis megalodon,Conopsis,Colubridae,0
Conopsis nasus,Conopsis,Colubridae,0
Contia longicaudae,Contia,Colubridae,0
Contia tenuis,Contia,Colubridae,0
Corallus annulatus,Corallus,Boidae,0
Corallus batesii,Corallus,Boidae,0
Corallus blombergi,Corallus,Boidae,0
Corallus caninus,Corallus,Boidae,0
Corallus cookii,Corallus,Boidae,0
Corallus cropanii,Corallus,Boidae,0
Corallus grenadensis,Corallus,Boidae,0
Corallus hortulana,Corallus,Boidae,0
Corallus ruschenbergerii,Corallus,Boidae,0
Coronelaps lepidus,Coronelaps,Colubridae,0
Coronella austriaca,Coronella,Colubridae,0
Coronella brachyura,Coronella,Colubridae,0
Coronella girondica,Coronella,Colubridae,0
Crisantophis nevermanni,Crisantophis,Colubridae,0
Crotalus adamanteus,Crotalus,Viperidae,1
Crotalus angelensis,Crotalus,Viperidae,1
Crotalus aquilus,Crotalus,Viperidae,1
Crotalus armstrongi,Crotalus,Viperidae,1
Crotalus atrox,Crotalus,Viperidae,1
Crotalus basiliscus,Crotalus,Viperidae,1
Crotalus campbelli,Crotalus,Viperidae,1
Crotalus catalinensis,Crotalus,Viperidae,1
Crotalus cerastes,Crotalus,Viperidae,1
Crotalus cerberus,Crotalus,Viperidae,1
Crotalus concolor,Crotalus,Viperidae,1
Crotalus culminatus,Crotalus,Viperidae,1
Crotalus durissus,Crotalus,Viperidae,1
Crotalus ehecatl,Crotalus,Viperidae,1
Crotalus enyo,Crotalus,Viperidae,1
Crotalus ericsmithi,Crotalus,Viperidae,1
Crotalus estebanensis,Crotalus,Viperidae,1
Crotalus helleri,Crotalus,Viperidae,1
Crotalus horridus,Crotalus,Viperidae,1
Crotalus intermedius,Crotalus,Viperidae,1
Crotalus lannomi,Crotalus,Viperidae,1
Crotalus lepidus,Crotalus,Viperidae,1
Crotalus lorenzoensis,Crotalus,Viperidae,1
Crotalus lutosus,Crotalus,Viperidae,1
Crotalus mictlantecuhtli,Crotalus,Viperidae,1
Crotalus mitchellii,Crotalus,Viperidae,1
Crotalus molossus,Crotalus,Viperidae,1
Crotalus morulus,Crotalus,Viperidae,1
Crotalus oreganus,Crotalus,Viperidae,1
Crotalus ornatus,Crotalus,Viperidae,1
Crotalus polisi,Crotalus,Viperidae,1
Crotalus polystictus,Crotalus,Viperidae,1
Crotalus pricei,Crotalus,Viperidae,1
Crotalus pusillus,Crotalus,Viperidae,1
Crotalus pyrrhus,Crotalus,Viperidae,1
Crotalus ravus,Crotalus,Viperidae,1
Crotalus ruber,Crotalus,Viperidae,1
Crotalus scutulatus,Crotalus,Viperidae,1
Crotalus simus,Crotalus,Viperidae,1
Crotalus stejnegeri,Crotalus,Viperidae,1
Crotalus stephensi,Crotalus,Viperidae,1
Crotalus tancitarensis,Crotalus,Viperidae,1
Crotalus thalassoporus,Crotalus,Viperidae,1
Crotalus tigris,Crotalus,Viperidae,1
Crotalus tlaloci,Crotalus,Viperidae,1
Crotalus totonacus,Crotalus,Viperidae,1
Crotalus transversus,Crotalus,Viperidae,1
Crotalus triseriatus,Crotalus,Viperidae,1
Crotalus tzabcan,Crotalus,Viperidae,1
Crotalus unicolor,Crotalus,Viperidae,1
Crotalus vegrandis,Crotalus,Viperidae,1
Crotalus viridis,Crotalus,Viperidae,1
Crotalus willardi,Crotalus,Viperidae,1
Crotaphopeltis barotseensis,Crotaphopeltis,Colubridae,0
Crotaphopeltis braestrupi,Crotaphopeltis,Colubridae,0
Crotaphopeltis degeni,Crotaphopeltis,Colubridae,0
Crotaphopeltis hippocrepis,Crotaphopeltis,Colubridae,0
Crotaphopeltis hotamboeia,Crotaphopeltis,Colubridae,0
Crotaphopeltis tornieri,Crotaphopeltis,Colubridae,0
Cryophis hallbergi,Cryophis,Colubridae,0
Cryptophis boschmai,Cryptophis,Elapidae,0
Cryptophis incredibilis,Cryptophis,Elapidae,0
Cryptophis nigrescens,Cryptophis,Elapidae,0
Cryptophis nigrostriatus,Cryptophis,Elapidae,0
Cryptophis pallidiceps,Cryptophis,Elapidae,0
Cubatyphlops anchaurus,Cubatyphlops,Typhlopidae,0
Cubatyphlops anousius,Cubatyphlops,Typhlopidae,0
Cubatyphlops arator,Cubatyphlops,Typhlopidae,0
Cubatyphlops biminiensis,Cubatyphlops,Typhlopidae,0
Cubatyphlops caymanensis,Cubatyphlops,Typhlopidae,0
Cubatyphlops contorhinus,Cubatyphlops,Typhlopidae,0
Cubatyphlops epactius,Cubatyphlops,Typhlopidae,0
Cubatyphlops golyathi,Cubatyphlops,Typhlopidae,0
Cubatyphlops notorachius,Cubatyphlops,Typhlopidae,0
Cubatyphlops paradoxus,Cubatyphlops,Typhlopidae,0
Cubatyphlops perimychus,Cubatyphlops,Typhlopidae,0
Cubatyphlops satelles,Cubatyphlops,Typhlopidae,0
Cubophis brooksi,Cubophis,Colubridae,0
Cubophis cantherigerus,Cubophis,Colubridae,0
Cubophis caymanus,Cubophis,Colubridae,0
Cubophis fuscicauda,Cubophis,Colubridae,0
Cubophis ruttyi,Cubophis,Colubridae,0
Cubophis vudii,Cubophis,Colubridae,0
Cyclocorus lineatus,Cyclocorus,Lamprophiidae,0
Cyclocorus nuchalis,Cyclocorus,Lamprophiidae,0
Cyclotyphlops deharvengi,Cyclotyphlops,Typhlopidae,0
Cylindrophis aruensis,Cylindrophis,Cylindrophiidae,0
Cylindrophis boulengeri,Cylindrophis,Cylindrophiidae,0
Cylindrophis burmanus,Cylindrophis,Cylindrophiidae,0
Cylindrophis engkariensis,Cylindrophis,Cylindrophiidae,0
Cylindrophis isolepis,Cylindrophis,Cylindrophiidae,0
Cylindrophis jodiae,Cylindrophis,Cylindrophiidae,0
Cylindrophis lineatus,Cylindrophis,Cylindrophiidae,0
Cylindrophis maculatus,Cylindrophis,Cylindrophiidae,0
Cylindrophis melanotus,Cylindrophis,Cylindrophiidae,0
Cylindrophis opisthorhodus,Cylindrophis,Cylindrophiidae,0
Cylindrophis osheai,Cylindrophis,Cylindrophiidae,0
Cylindrophis ruffus,Cylindrophis,Cylindrophiidae,0
Cylindrophis slowinskii,Cylindrophis,Cylindrophiidae,0
Cylindrophis subocularis,Cylindrophis,Cylindrophiidae,0
Cylindrophis yamdena,Cylindrophis,Cylindrophiidae,0
Daboia mauritanica,Daboia,Viperidae,1
Daboia palaestinae,Daboia,Viperidae,1
Daboia russelii,Daboia,Viperidae,1
Daboia siamensis,Daboia,Viperidae,1
Dasypeltis abyssina,Dasypeltis,Colubridae,0
Dasypeltis arabica,Dasypeltis,Colubridae,0
Dasypeltis atra,Dasypeltis,Colubridae,0
Dasypeltis bazi,Dasypeltis,Colubridae,0
Dasypeltis confusa,Dasypeltis,Colubridae,0
Dasypeltis crucifera,Dasypeltis,Colubridae,0
Dasypeltis fasciata,Dasypeltis,Colubridae,0
Dasypeltis gansi,Dasypeltis,Colubridae,0
Dasypeltis inornata,Dasypeltis,Colubridae,0
Dasypeltis latericia,Dasypeltis,Colubridae,0
Dasypeltis medici,Dasypeltis,Colubridae,0
Dasypeltis palmarum,Dasypeltis,Colubridae,0
Dasypeltis parascabra,Dasypeltis,Colubridae,0
Dasypeltis sahelensis,Dasypeltis,Colubridae,0
Dasypeltis scabra,Dasypeltis,Colubridae,0
Dasypeltis taylori,Dasypeltis,Colubridae,0
Deinagkistrodon acutus,Deinagkistrodon,Viperidae,1
Demansia angusticeps,Demansia,Elapidae,0
Demansia calodera,Demansia,Elapidae,0
Demansia flagellatio,Demansia,Elapidae,0
Demansia olivacea,Demansia,Elapidae,0
Demansia papuensis,Demansia,Elapidae,0
Demansia psammophis,Demansia,Elapidae,0
